npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									50000	75000	100001
charsi	512	960	128	4	1024	922	1024									50000	75000	100001
akara	512	1024	128	4	1024	922	1024									50000	75000	100001
lysander	512	1024	128	9	1024	922	1024									50000	75000	100001
drognan	512	1024	128	9	1024	922	1024									50000	75000	100001
elzix	512	1024	128	9	1024	922	1024									50000	75000	100001
fara	512	1024	128	9	1024	922	1024									50000	75000	100001
hratli	512	1024	128	17	1024	922	1024									50000	75000	100001
alkor	512	1024	128	17	1024	922	1024									50000	75000	100001
ormus	512	1024	128	17	1024	922	1024									50000	75000	100001
asheara	512	1024	128	17	1024	922	1024									50000	75000	100001
jamella	512	1024	128													50000	75000	100001
halbu	512	1024	128													50000	75000	100001
malah	512	2048	128	35	1024	512	1024									50000	75000	100001
drehya	512	2048	128	35	1024	512	1024									50000	75000	100001
larzuk	512	2048	128	35	1024	512	1024									50000	75000	100001
nihlathak	512	2048	128	35	1024	512	1024									50000	75000	100001
