npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									5000	30003	60003
charsi	512	960	128	4	1024	922	1024									5000	30003	60003
akara	512	1024	128	4	1024	922	1024									5000	30003	60003
lysander	512	1024	128	9	1024	922	1024									10000	30003	60003
drognan	512	1024	128	9	1024	922	1024									10000	30003	60003
elzix	512	1024	128	9	1024	922	1024									10000	30003	60003
fara	512	1024	128	9	1024	922	1024									10000	30003	60003
hratli	512	1024	128	17	1024	922	1024									15000	30003	60003
alkor	512	1024	128	17	1024	922	1024									15000	30003	60003
ormus	512	1024	128	17	1024	922	1024									15000	30003	60003
asheara	512	1024	128	17	1024	922	1024									15000	30003	60003
jamella	512	1024	128													20000	30003	60003
halbu	512	1024	128													20000	30003	60003
malah	512	2048	128	35	1024	512	1024									25000	30003	60003
drehya	512	2048	128	35	1024	512	1024									25000	30003	60003
larzuk	512	2048	128	35	1024	512	1024									25000	30003	60003
nihlathak	512	2048	128	35	1024	512	1024									25000	30003	60003
