Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Health	0	1	1	7		5					1	red-dmg		1	1										tors	helm	shld	ring	amul								0	0
of Protection	0	1	1	18		13					1	red-dmg		2	2										ring	amul											0	0
of Absorption	0	1	1	26		19					1	red-dmg		3	3										amul												0	0
of Life	0	1	1	35		26					1	red-dmg		4	4									dblu	amul												0	0
		1																																			0	0
of Warding	0	1	1	7		5					2	red-mag		1	1										tors	helm	shld	ring	amul								0	0
of the Sentinel	0	1	1	18		13					2	red-mag		2	2										ring	amul											0	0
of Guarding	0	1	1	26		19					2	red-mag		3	3										amul												0	0
of Negation	0	1	1	35		26					2	red-mag		4	4										amul												0	0
																																					0	0
of Piercing	0	1	1	25		18					3	ignore-ac		1	1										rod												0	0
of Bashing	0	1	1	16		12					4	dmg-ac		-25	-40										mele							wand	staf				0	0
of Puncturing	0	1	1	6		4					4	dmg-ac		-10	-20										mele							wand	staf				0	0
of Thorns	0	1	1	14		10					5	thorns		1	3										tors	helm	shld	belt									0	0
of Spikes	0	1	1	21		15					5	thorns		2	6									oran	tors	helm	shld	belt									0	0
of Readiness	0	1	1	1		1					6	swing1		10	10										weap	glov											0	0
of Alacrity	0	1	1	8		6					6	swing2		20	20										weap												0	0
of Swiftness	0	1	1	19		14					6	swing2		30	30										mele							wand	staf				0	0
of Quickness	0	1	1	25		18					6	swing3		40	40									dyel	mele							wand	staf				0	0
of Blocking	0	1	1	1		1					7	block		10	10										shld												0	0
of Deflecting	0	1	1	11		8					7	block		20	20										shld												0	0
of the Apprentice	0	1	1	5		3					8	cast1		10	10										rod	ring	amul										0	0
of the Magus	0	1	1	17		12					8	cast3		20	20										rod												0	0
of Frost	0	1	1	4		3					9	cold-min		1	1	cold-max		1	4	cold-len		125	125		weap												0	0
of the Glacier	0	1	1	18		13					9	cold-min		4	4	cold-max		4	12	cold-len		150	150		mele												0	0
of Frost	0	1	1	55		41					9	cold-min		1	1	cold-max		1	4	cold-len		125	125		belt	amul											0	0
of Warmth	0	1	1	10		7					10	half-freeze		1	1										shld	boot	glov	ring	amul								0	0
of Flame	0	1	1	4		3					11	fire-min		1	1	fire-max		2	6						weap												0	0
of Fire	0	1	1	15		11					11	fire-min		2	2	fire-max		6	11						weap												0	0
of Burning	0	1	1	25		18					11	fire-min		10	10	fire-max		10	20					dred	weap												0	0
of Flame	0	1	1	40		30					11	fire-min		1	1	fire-max		2	6						glov	ring	amul										0	0
of Shock	0	1	1	4		3					12	ltng-min		1	1	ltng-max		8	8						weap												0	0
of Lightning	0	1	1	15		11					12	ltng-min		1	1	ltng-max		16	16						weap												0	0
of Thunder	0	1	1	25		18					12	ltng-min		1	1	ltng-max		32	32					dyel	weap												0	0
